Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
spinne1,0,8,8,0,,,,,920.5862132131588,,,,,,,,,,917.0202126107179,917.1038941275328,"[0, 300]",[],[],[],[],[],[],[],[],917.1042983229272,917.1202320383163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
auto1,0,9,9,12,,,,,920.5862132131588,,,,,,,,,,917.1204897448188,917.1642230532598,"[300, 300]",[],[],[],[],[],[],[],[],917.1647654884728,917.1848165348638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
zug1,0,10,10,15,,,,,920.5862132131588,,,,,,,,,,917.1850685524987,917.2753252834082,"[0, 300]",[],[],[],[],[],[],[],[],917.2758734074887,917.296113893739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schlange2,0,11,11,3,,,,,920.5862132131588,,,,,,,,,,917.2963701781118,917.3636839175597,"[-300, 0]",[],[],[],[],[],[],[],[],917.3640972151188,917.379743641708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
person2,0,12,12,5,,,,,920.5862132131588,,,,,,,,,,917.3799888327485,917.4658250149805,"[0, -300]",[],[],[],[],[],[],[],[],917.4663674503099,917.4866631187033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gruppe1,0,13,13,6,,,,,920.5862132131588,,,,,,,,,,917.4869159896625,917.5536019606516,"[300, 300]",[],[],[],[],[],[],[],[],917.5540013203863,917.5704080666183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schiff1,0,14,14,14,,,,,920.5862132131588,,,,,,,,,,917.570670893183,917.6407588176662,"[-300, 300]",[],[],[],[],[],[],[],[],917.6411652886309,917.656338115572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht3,0,15,15,10,,,,,920.5862132131588,,,,,,,,,,917.656601510942,917.7076504419092,"[300, 0]",[],[],[],[],[],[],[],[],917.7080537838629,917.7242901480058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schlange1,1,0,16,2,,,,,920.5862132131588,,,,,,,,,,917.7245458633406,917.7843946471112,"[0, 300]",[],[],[],[],[],[],[],[],917.784790309146,917.8008739266079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
flugzeug1,1,1,17,13,,,,,920.5862132131588,,,,,,,,,,917.8011304953834,917.848469988443,"[-300, -300]",[],[],[],[],[],[],[],[],917.8490169747965,917.870040251757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
person1,1,2,18,4,,,,,920.5862132131588,,,,,,,,,,917.8702945449622,917.9359516808763,"[-300, -300]",[],[],[],[],[],[],[],[],917.9363422228489,917.9529037068132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gruppe1,1,3,19,6,,,,,920.5862132131588,,,,,,,,,,917.9531551555265,918.0152280090842,"[300, -300]",[],[],[],[],[],[],[],[],918.0156233867165,918.0320585772861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
spinne1,1,4,20,0,,,,,920.5862132131588,,,,,,,,,,918.0323088882724,918.0998905743472,"[300, -300]",[],[],[],[],[],[],[],[],918.1002831073711,918.1068742503412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
spinne2,1,5,21,1,,,,,920.5862132131588,,,,,,,,,,918.10707222356,918.2541856687749,"[-300, 300]",[],[],[],[],[],[],[],[],918.2545810462907,918.2602272653021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gruppe2,1,6,22,7,,,,,920.5862132131588,,,,,,,,,,918.2604266607668,918.2792625611182,"[300, 0]",[],[],[],[],[],[],[],[],918.2796562319854,918.2849989490351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht3,1,7,23,10,,,,,920.5862132131588,,,,,,,,,,918.2851966377348,918.3043417291483,"[-300, -300]",[],[],[],[],[],[],[],[],918.3047641288722,918.3103028279729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
person2,1,8,24,5,,,,,920.5862132131588,,,,,,,,,,918.3105025078403,918.3284736976493,"[300, 0]",[],[],[],[],[],[],[],[],918.3288633862976,918.3342550277011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
auto1,1,9,25,12,,,,,920.5862132131588,,,,,,,,,,918.3344549919711,918.3536711944034,"[300, 0]",[],[],[],[],[],[],[],[],918.3540651496733,918.3595665865578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht2,1,10,26,9,,,,,920.5862132131588,,,,,,,,,,918.359820879763,918.3791847086977,"[300, -300]",[],[],[],[],[],[],[],[],918.379577241838,918.3849412921118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht4,1,11,27,11,,,,,920.5862132131588,,,,,,,,,,918.3851406875765,918.4033209439367,"[-300, 300]",[],[],[],[],[],[],[],[],918.4037063659634,918.4091361227911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schlange2,1,12,28,3,,,,,920.5862132131588,,,,,,,,,,918.4093562826747,918.4287309205392,"[0, -300]",[],[],[],[],[],[],[],[],918.42916156922,918.434765690472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
zug1,1,13,29,15,,,,,920.5862132131588,,,,,,,,,,918.4349679303123,918.4571494644042,"[-300, 300]",[],[],[],[],[],[],[],[],918.4575411442202,918.4631404299289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schiff1,1,14,30,14,,,,,920.5862132131588,,,,,,,,,,918.4633421008475,918.4959752556169,"[-300, 0]",[],[],[],[],[],[],[],[],918.4963933887193,918.5018993767444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht1,1,15,31,8,,,,,920.5862132131588,,,,,,,,,,918.5021064521279,918.5207264593337,"[-300, 0]",[],[],[],[],[],[],[],[],918.5211184235523,918.5265257094288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht2,2,0,32,9,,,,,920.5862132131588,,,,,,,,,,918.5267276648665,918.5464038136415,"[300, -300]",[],[],[],[],[],[],[],[],918.5468020356493,918.5523853924824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gruppe1,2,1,33,6,,,,,920.5862132131588,,,,,,,,,,918.5525830811821,918.5716852215119,"[300, -300]",[],[],[],[],[],[],[],[],918.5720737723168,918.5782533243764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schlange1,2,2,34,2,,,,,920.5862132131588,,,,,,,,,,918.5784632442519,918.598432939616,"[300, 300]",[],[],[],[],[],[],[],[],918.5988251882372,918.6043519406812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
spinne2,2,3,35,1,,,,,920.5862132131588,,,,,,,,,,918.6046053805621,918.9723821668886,"[300, 0]",[],[],[],[],[],[],[],[],918.972776406561,918.9794884383446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schlange2,2,4,36,3,,,,,920.5862132131588,,,,,,,,,,918.9796858426416,918.9995915379841,"[300, -300]",[],[],[],[],[],[],[],[],918.999984355527,919.0057406545384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gruppe2,2,5,37,7,,,,,920.5862132131588,,,,,,,,,,919.0059320855653,919.0245993104763,"[-300, 0]",[],[],[],[],[],[],[],[],919.0249926969409,919.0309287646087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
flugzeug1,2,6,38,13,,,,,920.5862132131588,,,,,,,,,,919.0311227556085,919.0521329481853,"[-300, -300]",[],[],[],[],[],[],[],[],919.0525234901579,919.0583059579367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
spinne1,2,7,39,0,,,,,920.5862132131588,,,,,,,,,,919.0584988112096,919.0778407379985,"[300, 0]",[],[],[],[],[],[],[],[],919.0782312799711,919.0841101744445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
auto1,2,8,40,12,,,,,920.5862132131588,,,,,,,,,,919.084303027601,919.1117558830883,"[0, -300]",[],[],[],[],[],[],[],[],919.1127699270146,919.120634242543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
person1,2,9,41,4,,,,,920.5862132131588,,,,,,,,,,919.1208404646022,919.140511777834,"[300, 0]",[],[],[],[],[],[],[],[],919.1409205242526,919.1469254276017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schiff1,2,10,42,14,,,,,920.5862132131588,,,,,,,,,,919.1471606629202,919.166725025163,"[300, 0]",[],[],[],[],[],[],[],[],919.1671252382221,919.1728340350091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
zug1,2,11,43,15,,,,,920.5862132131588,,,,,,,,,,919.1730348527199,919.1925318016438,"[-300, 300]",[],[],[],[],[],[],[],[],919.1929391258163,919.1988942513708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht1,2,12,44,8,,,,,920.5862132131588,,,,,,,,,,919.1990916556679,919.2184805157594,"[300, -300]",[],[],[],[],[],[],[],[],919.2188733333023,919.2247220766731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht4,2,13,45,11,,,,,920.5862132131588,,,,,,,,,,919.2249160676729,919.2439220657106,"[-300, 300]",[],[],[],[],[],[],[],[],919.2443242699374,919.2504119464429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
person2,2,14,46,5,,,,,920.5862132131588,,,,,,,,,,919.2506073596887,919.2693351712078,"[300, 300]",[],[],[],[],[],[],[],[],919.2697254287777,919.2755448743701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht3,2,15,47,10,,,,,920.5862132131588,,,,,,,,,,919.2757371587213,919.2945824457565,"[0, -300]",[],[],[],[],[],[],[],[],919.2949758322211,919.3009861399187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schlange2,3,0,48,3,,,,,920.5862132131588,,,,,,,,,,919.3011784242699,919.3203892222373,"[300, -300]",[],[],[],[],[],[],[],[],919.3207891508937,919.3267328985967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gruppe2,3,1,49,7,,,,,920.5862132131588,,,,,,,,,,919.3269391206559,919.3457681944128,"[300, 0]",[],[],[],[],[],[],[],[],919.3461604431504,919.3520148752723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
flugzeug1,3,2,50,13,,,,,920.5862132131588,,,,,,,,,,919.3522040307289,919.374157724902,"[300, 300]",[],[],[],[],[],[],[],[],919.3745735824341,919.392426159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
person2,3,3,51,5,,,,,920.5862132131588,,,,,,,,,,919.3933585673803,919.4200769877061,"[-300, 300]",[],[],[],[],[],[],[],[],919.4204669608735,919.4274423879106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht1,3,4,52,8,,,,,920.5862132131588,,,,,,,,,,919.4276429212186,919.4465738260187,"[-300, 300]",[],[],[],[],[],[],[],[],919.4470002079615,919.4532414843561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
auto1,3,5,53,12,,,,,920.5862132131588,,,,,,,,,,919.453435759875,919.4738506104331,"[300, -300]",[],[],[],[],[],[],[],[],919.474244850222,919.4804053445114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
spinne2,3,6,54,1,,,,,920.5862132131588,,,,,,,,,,919.4806016110815,919.6245631291531,"[300, -300]",[],[],[],[],[],[],[],[],919.6249531023204,919.6304462902481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht4,3,7,55,11,,,,,920.5862132131588,,,,,,,,,,919.6306451167911,919.6490108307917,"[-300, 300]",[],[],[],[],[],[],[],[],919.649431523867,919.6549238585867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
zug1,3,8,56,15,,,,,920.5862132131588,,,,,,,,,,919.6551201251568,919.6740368077299,"[300, -300]",[],[],[],[],[],[],[],[],919.6744438474998,919.6801284664543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schlange1,3,9,57,2,,,,,920.5862132131588,,,,,,,,,,919.680328999646,919.6990593712544,"[300, -300]",[],[],[],[],[],[],[],[],919.6994607221568,919.7048887723358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schiff1,3,10,58,14,,,,,920.5862132131588,,,,,,,,,,919.7050884522032,919.7244568322785,"[300, 300]",[],[],[],[],[],[],[],[],919.7248473743675,919.7303482423304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht3,3,11,59,10,,,,,920.5862132131588,,,,,,,,,,919.7305817711167,919.751378914807,"[300, -300]",[],[],[],[],[],[],[],[],919.7518414212391,919.7573852402857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
person1,3,12,60,4,,,,,920.5862132131588,,,,,,,,,,919.757582075661,919.7775551843224,"[0, 300]",[],[],[],[],[],[],[],[],919.7779482863843,919.7834394832607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
spinne1,3,13,61,0,,,,,920.5862132131588,,,,,,,,,,919.7836374564795,919.8139785592211,"[300, -300]",[],[],[],[],[],[],[],[],919.8143921411829,919.8199692402268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gruppe1,3,14,62,6,,,,,920.5862132131588,,,,,,,,,,919.820175746805,919.8387192384107,"[300, 300]",[],[],[],[],[],[],[],[],919.8391385093564,919.844775057165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht2,3,15,63,9,,,,,920.5862132131588,,,,,,,,,,919.8450216704514,919.8650826723315,"[300, 300]",[],[],[],[],[],[],[],[],919.8654743521474,919.8709075223887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schlange2,4,0,64,3,,,,,920.5862132131588,,,,,,,,,,919.8711328022182,919.8912051819498,"[300, -300]",[],[],[],[],[],[],[],[],919.8915979994927,919.8971423874609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
person1,4,1,65,4,,,,,920.5862132131588,,,,,,,,,,919.8973611250985,919.917390838149,"[300, 300]",[],[],[],[],[],[],[],[],919.9177907668054,919.9241978742648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
